EquipmentNumber,Region,Destination,DMFCategory,StartGridRefEN,TypeofInstall,InstallLocation,TypeOf,CounterNetwork,CounterType,active,date,longitude,latitude
100000543,CNI,Te Puke walks,Local Treasure,1881919-5801108,Long term,Otanewainuku Lookout Track,Pedestrian Counter - Pad,National,Counter Electronic V,yellow,2021-02-10,176.205992230896,-37.8939141536745
100030300,SSI,Milford Road Journey,Icon,1212758-5026814,Long term,Lake Marian Track - Lower,Pedestrian Counter - Pad,Regional,Counter Electronic V,navy,2021-07-11,168.103171297652,-44.8069913901528
100030301,SSI,Darran/Earl Mountains backcountry,Back Country,1212510-5027015,Long term,Lake Marian Track - Upper,Pedestrian Counter - Pad,Regional,Counter Electronic V,navy,2021-07-11,168.100199680649,-44.8050542195872
100030331,WSI,Franz Josef Valley walk,Icon,1370800-5188000,Long term,Franz Josef Glacier Forest Wk,Pedestrian Counter - Beam,Regional,Counter Electronic V,red,2018-02-23,170.168450161749,-43.4258382306564
100033456,LNI,Boundary Stream and Opouahi Reserves,Gateway,1933114-5665043,Long term,Boundary Stream Middle Track,Pedestrian Counter - Structure,National,Counter Electronic V,red,2016-04-26,176.851785679542,-39.100140489429
100033459,LNI,Otaki Forks,Gateway,1788200-5472300,Long term,Field Track,Pedestrian Counter - Pad,National,Counter Electronic V,red,2019-06-13,175.233601195473,-40.8787611622528
100033460,LNI,Tararua FP -Kapiti access backcountry,Back Country,1788700-5472500,Long term,Waitewaewae Track,Pedestrian Counter - Pad,National,Counter Electronic V,yellow,2020-11-23,175.239470289813,-40.8768458145076
100033461,ESI,Arthurs Pass SH73 backcountry day trips,Back Country,1482572-5244756,Long term,Avalanche Peak Track,Pedestrian Counter - Pad,National,Counter Electronic V,blue,2021-04-06,171.560705798511,-42.940785060466
100033465,ESI,Upper Tasman Valley 4WD Rd,Local Treasure,1371663-5157827,Long term,"Tasman Glacier, Blue Lake Walk",Pedestrian Counter - Pad,National,Counter Electronic V,blue,2021-05-29,170.166399547672,-43.6974541249739
100034088,HWT,Whangamata walks,Local Treasure,1851490-5872492,Long term,Wharekirauponga Track,Pedestrian Counter - Pad,National,Counter Electronic V,navy,2021-08-05,175.835872245466,-37.2602027073412
100037706,HWT,Dawson Falls (Maunga Taranaki),Gateway,1695075-5646795,Long term,Wilkies Pool Loop Track,Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-04-13,174.102987715232,-39.3230343461106
100037872,CNI,Whirinaki Te Pua-a -Tane CP activities,Local Treasure,1922391-5716784,Long term,Old Fort Road,Pedestrian Counter - Pad,Regional,Counter Electronic V,yellow,2021-01-14,176.703785411472,-38.6388844899059
100037879,LNI,Manawatu Horowhenua Walks,Local Treasure,1788771-5498224,Long term,Papaitonga Scenic Reserve Tk 2,Pedestrian Counter - Pad,Regional,Counter Electronic V,navy,2021-08-10,175.232547196678,-40.6452687832072
100037908,LNI,Central Hawkes Bay walks,Local Treasure,1933350-5580803,Long term,Mohi Bush Scenic Reserve,Pedestrian Counter - Pad,Regional,Counter Electronic V,red,2019-09-11,176.896600527209,-39.8573646554598
