DMFCategory,TypeOf,PropLastYear,meanLastYear,obs,PropLast4,meanLast4
Icon,Pedestrian,0.222222222222222,0.385545855741061,27,0.333333333333333,0.654040554192237
Back Country,Pedestrian,0.612903225806452,0.00555065245073224,31,0.516129032258065,0.0229740348372876
Local Treasure,Pedestrian,0.301587301587302,-0.0814386670563501,63,0.301587301587302,-0.158358426846114
Gateway,Pedestrian,0.3,-0.0267442628451208,50,0.3,-0.0432238969487621
Gateway,Door,0,-0.248824693534658,1,0,-0.35682885362407
Visitor Centre,Pedestrian,0,-0.281818435588814,1,0,-0.32143697281312
Gateway,Road,0.5,-0.0742429705668393,8,0.375,-0.110585236421415
Icon,Road,0.5,-0.0657100003846222,4,0.5,-0.119356339756103
Local Treasure,Bicycle,0,-0.463833881403341,2,0,-0.188323414334518
Local Treasure,Road,0.285714285714286,0.219933750897541,7,0.285714285714286,0.224910738302328
Icon,Bicycle,1,0.409286985693125,2,1,0.275938316793991
Gateway,Bicycle,0.666666666666667,0.0839779606524976,3,0.333333333333333,-0.0690642440648803
Back Country,Bicycle,1,0.093147795949051,1,0,-0.00251684398647634
Back Country,Road,1,0.164350850413746,2,1,0.161687799462449
Not assigned,Road,0,-0.567758902624671,1,0,-0.65610884428008
